품목 410개 · 최근 90일 출고 있는 것만 · 7일치 · 입수 배수로 올림
코드	품목명	90일출고	하루평균	입수	적정후보	현재고	지금적정
1000802405	(아임도넛)옐로우비닐,그린팩코리아,11.8KG(50	17	0.2	1	2	29	
9904013380	직사각크라프트용기,650ML,170*120*53MM	17	0.2	1	2	22	
1000753312	(아티스트)마시는리드, 92Ø(파이),한국피엘에이,	16	0.2	1	2	26	
1000773121	(토리키조쿠)칵테일냅킨,삼양앤컴퍼니,10000EA	16	0.2	1	2	-17	
1000784275	(이름없는파스타)냅킨,크라프트,1도인쇄,에어넥스,1	16	0.2	1	2	-44	
1000791568	(아임도넛)원형식품지,무코팅,노루지,DIA300mm	16	0.2	1	2	22	
9904013385	45Ø(파이) 0.95온스,꿀용용기,45Ø, 0.9	16	0.2	1	2	49	
9904013362	진공포장지,35*45CM,0.07T,1000EA/B	16	0.2	1	2	-16	
1000735420	(올리앤커피)냅킨,갈색,W230mm,L230mm,1	15	0.2	1	2	-27	
1000752943	(아티스트)13oz 종이컵 ,로엔그린(1000입)	15	0.2	1	2	35	
1000755870	(주니아)아이스컵,PET,DIA92MM,16OZ,1	15	0.2	1	2	17	
1000773359	(호호솥밥)2배스티커,20MM/아트/코팅,3000E	15	0.2	1	2	8	
1000796382	(파작)각대봉투 대,내유노루지	15	0.2	1	2	20	
1000797636	(PAZAC)홀더,대승씨엔씨,7.35KG(1,000	15	0.2	1	2	-24	
9904013147	스푼포크세트,스푼175MM,포크160MM,흰색,PP	15	0.2	1	2	-41	
1000743867	PLA스트로우,검정,벌크포장,DIA7MM,L21CM	14	0.2	1	2	-37	
1000744003	스푼스트로우,L20cm,DIA6mm,파스텔,2000	14	0.2	1	2	-32	
1000748667	사각용기뚜껑,투명,PET,145*130,300EA	14	0.2	1	2	-32	
1000759526	(프로티너)소스컵몸체,7OZ,92파이,DIA92MM	14	0.2	1	2	-29	
1000767110	(우키)샌드위치박스,150*120*70MM,로얄지2	14	0.2	1	2	-37	
1000769064	(주니아)비닐쇼핑백,소,320*310MM,HDPE1	14	0.2	1	2	2	
1000774960	(헬키푸키)컵홀더,10/13OZ,1000EA/BOX	14	0.2	1	2	39	
1000796757	(민속촌)콜팝트레이 PP 투명, 300ea	14	0.2	1	2	-30	
1000797157	(우키)16온스,이중종이컵, 4도인쇄,450EA/B	14	0.2	1	2	-28	
1010005162	샌드위치펄프용기 크라프트 600ml,일체형,500개	14	0.2	1	2	-45	
9904013389	F45Ø,무타공 평 뚜껑,500	14	0.2	1	2	39	
1000763666	(꾸아) 앞치마,남해엔터프라이즈,30*73cm,8.	13	0.1	1	2	1	
1000737302	(올리앤)칵테일냅킨,갈색,W230mm,L230mm,	12	0.1	1	1	-24	
1000767729	(유박사)딤섬포장박스, 중,종이,코팅,4도,500개	12	0.1	1	1	-8	
1000809157	(코끼리떡볶이)부직포가방,190*170*310(H)	12	0.1	1	1	123	
9904013331	파니니용기,크라프트 도시락2호(185*90*140)	12	0.1	1	1	-37	
1000455402	비닐쇼핑백(유백색),27*40CM,0.015T,10	11	0.1	1	1	-19	
1000789637	코끼리떡볶이 비닐봉투 링펀지, 50mic, 30(1	11	0.1	1	1	53	
1000809121	(코끼리떡볶이)종이용기,500CC,300EA/BOX	11	0.1	1	1	-11	
9904013046	노루지,350*250MM,3000EA/BOX	11	0.1	1	1	10	
9904013242	소형사각 노루지,250*170mm,유산지 28g, 	11	0.1	1	1	9	
9904013177	(은호)신형 195Ø(파이), 소, 흑색, 몸통, 	11	0.1	1	1	33	
1000755859	(주니아)칵테일냅킨,갈색,8000EA/BOX	10	0.1	1	1	13	
1000756544	종이컵,92Ø(파이),20OZ,대크린상,DIA92M	10	0.1	1	1	-18	
1000759240	(프로티너)아이스컵,16OZ,92파이,DIA92MM	10	0.1	1	1	-29	
1000759540	(프로티너)소스컵뚜껑,7OZ,92파이, 무타공,평리	10	0.1	1	1	-26	
1000765293	소스용기몸체,소,JH,105Ø(파이)*45,PP,백	10	0.1	1	1	-21	
1000792476	(아벡쉐리)비닐봉투,소,투명무지,230(M180)*	10	0.1	1	1	-25	
1000794938	(아벡쉐리)테이블세팅지 367*257,2000ea	10	0.1	1	1	3	
1000796756	(민속촌)500ml PP컵 투명, 500ea	10	0.1	1	1	-21	
1000804654	(아임도넛)도넛파우치(반접봉투),대영전산,(117+	10	0.1	1	1	10	
6010005023	노루지코팅 깔개 40g 소, 130*100mm,10	10	0.1	1	1	4	
9904013178	(은호)신형 195Ø(파이) 뚜껑, PP, 300E	10	0.1	1	1	36	
1000719309	(명동피자)칵테일냅킨,1도인쇄,8000EA/BOX	9	0.1	1	1	-19	
1000730688	(레이어드)칵테일냅킨,강아지(백),L230mm,1도	9	0.1	1	1	8	
1000764836	(꾸아)투명비닐지퍼백,180*180mm,인쇄 200	9	0.1	1	1	1,693	
1000765530	스무디스트로우,일자,투명,벌크,DIA9MM,21CM	9	0.1	1	1	-20	
1000773167	(오늘도사시미)초밥용기,HP-05,체리,합세트,18	9	0.1	1	1	-32	
1000779462	(아티스트)칵테일냅킨,신규,삼양,230*230MM,	9	0.1	1	1	6	
1000789957	(스프링롤명가)일회용젓가락,개별포장,7인치,둥근대나	9	0.1	1	1	25	
9904013249	크라프트도시락용기(1호) 163*90*40mm	9	0.1	1	1	44	
9904012238	1구 비닐캐리어 1000매	9	0.1	1	1	16,971	
9904013334	L자봉투,110*210MM,무지,코팅,1000EA	9	0.1	1	1	-29	
1000455368	종이스트로우,개별포장,카레타,DIA8*210MM,1	8	0.1	1	1	-15	
1000455403	비닐쇼핑백(검정색),40*50CM,0.02T,100	8	0.1	1	1	22	
1000747715	(보울레시피)비닐쇼핑백,대,50㎛,230*M80*3	8	0.1	1	1	21	
1000755880	(주니아)비닐봉투,투명,1000EA/BOX,인쇄	8	0.1	1	1	12	
1000759250	(프로티너)머그리드,92파이,DIA92*22mm P	8	0.1	1	1	-21	
1000768161	(오베이글)스티커,50*50MM,특모조지,2도,20	8	0.1	1	1	-7	
1000782673	(피크버거)일체형펄프용기(B-003),크라프트,15	8	0.1	1	1	-26	
1000786322	(풋풋)비닐봉투,소,그린팩코리아,45MIC,23(M	8	0.1	1	1	-23	
1000786477	원형크라프트용기뚜껑,180파이,PP,300EA/BO	8	0.1	1	1	-26	
1000792544	(런던베이글)아돌이종이컵,16온스,2도인쇄,1000	8	0.1	1	1	42	
9904013130	(은호)사각원터치,소,70*70*30MM,PET,2	8	0.1	1	1	-28	
9904013351	원형크라프트용기,1500CC,180파이*H85MM,	8	0.1	1	1	-3	
1000745703	종이컵리드,개폐형,검정,DIA90MM,12/16OZ	7	0.1	1	1	-38	
1000752962	(아티스트)칵테일냅킨,흰색,W230mm,L230mm	7	0.1	1	1	8	
1000753315	(아티스트)종이리드(타원형 구멍) 10/13(100	7	0.1	1	1	21	
1000755868	(주니아)종이캐리어2구,200EA/BOX,인쇄	7	0.1	1	1	41	
1000764839	(꾸아)튀감박스,흰색,160*60*40mm,인쇄,4	7	0.1	1	1	-17	
1000765846	냉면용기몸체(소),BFP,195Ø(파이)MM,65M	7	0.1	1	1	-29	
1000769002	(우키)비닐봉투, 소,유백색300*370(M50)M	7	0.1	1	1	12	
1000793065	(스프링롤명가)도시락간지,선피앤피,11kg(1500	7	0.1	1	1	30	
1000800217	(동해왕코다리)반찬용기5칸(중),180*180*40	7	0.1	1	1	-9	
1000800733	(동해왕코다리)반찬용기5칸(중)뚜껑,180*180,	7	0.1	1	1	-11	
1000455397	진공파우치,특대,25*40CM,0.07T,1000E	6	0.1	1	1	-20	
1000718264	(레이어드)레이어드박스,손잡이,대,268*210*8	6	0.1	1	1	28	
1000718639	(레이어드)포장안내문,한글,A4,W150mm,L10	6	0.1	1	1	10	
1000731246	(런던베이글)베이컨어니언스티커 크림치즈 소 60*2	6	0.1	1	1	3	
1000735415	(올리앤)일회용아이스컵,PET,92Ø(파이),16O	6	0.1	1	1	-6	
1000764841	(꾸아)물티슈,원단 : 스판레이스,필름 : OPP 	6	0.1	1	1	-27	
1000768163	(오베이글)각대봉투,대,흰색,180*110*430M	6	0.1	1	1	-15	
1000800221	(동해왕코다리)직사각찜용기(대),270*215*94	6	0.1	1	1	-9	
1010018004	HOT스프용기뚜껑,350~474ML,불투명PP뚜껑,	6	0.1	1	1	26	
9904013367	도시락용기몸체,6칸,검정,JB413,240*240*	6	0.1	1	1	-4	
9904013280	리유저블컵,90파이,1000ML,PP,300EA/B	6	0.1	1	1	-12	
9904013281	리유저블컵뚜껑,90파이,PP,300EA/BOX	6	0.1	1	1	-12	
9904013151	개별포장,스푼,흰색 L170m,1500ea	6	0.1	1	1	-20	
1000719150	(레이어드)하이웨스트&베이글박스,중,180*120*	5	0.1	1	1	31	
1000735975	(올리앤)비닐봉투,특대,HDPE,580*M155*3	5	0.1	1	1	7	
1000738703	(파더스)OPP 접착봉투 소, 100*110+40m	5	0.1	1	1	-11	
1000761942	(무튼)피자박스, 소,7인치,200*200*45M,	5	0.1	1	1	-12	
1000761945	(무튼)피자박스, 중,9인치,255*255*45M,	5	0.1	1	1	-11	
1000765254	소스용기몸체,중,BFP,105Ø(파이)*58,PP,	5	0.1	1	1	-18	
1000765331	(정희)사각죽용기뚜껑,JH,백색,195Ø(파이)*1	5	0.1	1	1	-13	
1000767730	(유박사)딤섬포장박스, 대,종이,코팅,4도,300개	5	0.1	1	1	-12	
1000775942	(화계전통)칵테일냅킨,갈색,1도인쇄,10000EA/	5	0.1	1	1	-4	
1000781743	(풋풋)샌드위치스티커,42*100MM,4도,3000	5	0.1	1	1	-4	
1000786323	(풋풋)비닐봉투,대,그린팩코리아,45MIC,30(M	5	0.1	1	1	-15	
9904013368	도시락용기뚜껑,반투명,JB413,240*240MM,	5	0.1	1	1	-3	
9904013131	(은호)사각원터치,대,78*78*50MM,PET,1	5	0.1	1	1	4	
9904013333	포켓(반)봉투,200*240MM,무지,코팅,1000	5	0.1	1	1	41	
9904013340	6각 펄프용기,중, 1200ml,245*228*67	5	0.1	1	1	-13	
9904013342	6각펄프용기뚜껑,중/대 겸용,DIA228MM,PET	5	0.1	1	1	0	
9904013381	트레이유산지,350*250MM,무지,1000EA/B	5	0.1	1	1	-22	
1000455401	비닐쇼핑백(검정색),50*60CM,0.02T,100	4	0.0	1	1	-13	
1000718242	(레이어드)친환경종이컵,8OZ,1도인쇄,1000EA	4	0.0	1	1	6	
1000721743	(런던베이글)베이글리플렛 3단 접지, A4,미색모조	4	0.0	1	1	159	
1000722833	(카페페퍼)카페페퍼박스,소,130*90*105MM,	4	0.0	1	1	3	
1000723832	(진저베어&카페페퍼)비닐봉투,소,무지,W280mm,	4	0.0	1	1	5	
1000730689	(하이웨스트)칵테일냅킨,흰색,W230mm,L230m	4	0.0	1	1	5	
1000732260	(레이어드)각대봉투,대,노루,180*110*355T	4	0.0	1	1	33	
1000732262	(하이웨스트)각대봉투,중,노루지150*90*265T	4	0.0	1	1	4	
1000735634	(버닝&남영)98Ø(파이) PET 머그리드(Tall	4	0.0	1	1	-11	
1000743503	종이스트로우,개별포장,카레타,L210MM,DIA7M	4	0.0	1	1	-13	
1000745706	사각용기뚜껑,투명,SEIL,131*94*25MM,8	4	0.0	1	1	-10	
1000747921	PLA스트로우,백색,벌크PLA포장,DIA7MM,L2	4	0.0	1	1	-9	
1000764838	(꾸아)비닐봉투 소,225*150*480MM,인쇄,	4	0.0	1	1	1,407	
1000768159	(오베이글)컵홀더,10/13온스,1도인쇄,1000E	4	0.0	1	1	15	
1000770923	(포케올데이)올데이프레시박스,크라프트,570*410	4	0.0	1	1	47	
1000770924	(포케올데이)올데이프레시박스뚜껑,크라프트	4	0.0	1	1	48	
1000775939	(화계전통)샐러드용기(205),대,몸체,800EA/	4	0.0	1	1	-12	
